AGC,RAJ2000,DEJ2000,Dist,e_Dist,Vc,e_Vc,HIflux,e_HIflux,W85,e_W85,Af,e_Af,Ac,e_Ac,Cv,e_Cv,K,e_K,S/N,sigma,logMHI,e_logMHI,Notes,SDSS,SimbadName,LEDA
000016,0.95375,7.47861,74.1,2.4,5245,3,11.85,1.87,153,9,1.08,0.08,1.19,0.12,2.52,0.18,-0.076,0.015,74.0,3.3,10.19,0.07,1,,UGC 000016,LEDA
000017,0.93,15.21806,20.3,4.3,876,3,6.72,1.06,87,5,1.01,0.07,1.03,0.1,3.28,0.23,-0.017,0.015,74.6,2.4,8.82,0.2,1,,UGC 000017,LEDA
000021,1.03708,7.37889,87.7,2.3,6202,4,5.01,0.79,163,10,1.19,0.09,1.26,0.14,2.89,0.23,-0.044,0.018,27.9,3.4,9.96,0.07,1,,UGC 000021,LEDA
000022,1.02083,10.29417,105.6,2.2,7743,11,2.98,0.46,370,24,1.0,0.08,1.09,0.12,2.77,0.21,-0.057,0.018,13.7,2.9,9.89,0.07,1,,UGC 000022,LEDA
000023,1.05417,10.79028,108.8,2.2,7969,8,2.33,0.36,370,23,1.2,0.1,1.83,0.27,2.84,0.27,-0.049,0.019,16.9,2.0,9.81,0.07,1,,UGC 000023,LEDA
000024,1.06125,22.58778,48.1,9.1,4446,3,5.4,0.86,162,10,1.01,0.07,1.01,0.1,3.12,0.22,-0.032,0.015,46.6,2.3,9.47,0.18,1,,UGC 000024,LEDA
000025,1.10458,6.17778,78.7,15.2,5081,4,3.79,0.6,257,16,1.13,0.08,1.26,0.13,2.52,0.18,-0.06,0.018,27.4,2.3,9.74,0.18,1,,UGC 000025,LEDA
000026,1.10208,31.47194,42.1,8.3,4954,3,10.23,1.62,218,13,1.01,0.07,1.04,0.1,2.8,0.2,-0.056,0.015,75.5,2.4,9.63,0.18,1,,UGC 000026,LEDA
000027,1.12125,5.84556,44.5,9.2,3112,3,13.51,2.14,193,12,1.01,0.07,1.05,0.11,2.73,0.19,-0.058,0.015,138.8,1.9,9.8,0.19,1,,UGC 000027,LEDA
000030,1.13625,33.55917,68.7,4.2,4761,6,2.6,0.41,224,15,1.0,0.07,1.0,0.12,2.51,0.19,-0.074,0.017,15.5,3.0,9.46,0.09,1,,UGC 000030,LEDA
000031,1.2175,17.19222,12.7,4.3,1035,3,2.79,0.44,54,5,1.01,0.14,1.0,0.16,5.01,0.37,0.108,0.017,23.5,3.0,8.03,0.3,1,,UGC 000031,LEDA
000034,1.27583,6.92,105.7,21.8,6166,13,1.91,0.3,445,28,1.08,0.09,1.9,0.28,2.86,0.41,-0.059,0.02,11.3,2.2,9.7,0.19,1,,UGC 000034,LEDA
000035,1.28833,6.25944,43.4,4.3,3101,3,3.44,0.55,58,4,1.04,0.07,1.03,0.1,3.39,0.24,0.008,0.015,42.8,2.3,9.18,0.11,1,,UGC 000035,LEDA
000036,1.3075,6.77194,94.6,20.3,6293,14,2.01,0.33,457,32,1.0,0.09,1.09,0.15,2.46,0.22,-0.087,0.022,10.0,2.6,9.63,0.2,1,,UGC 000036,LEDA
000037,1.3625,5.17639,79.5,2.2,5548,14,2.52,0.39,815,51,1.08,0.08,1.31,0.15,3.45,0.28,0.026,0.022,17.8,1.4,9.58,0.07,"2,c",,UGC 000037,LEDA
000038,1.36542,5.22222,74.7,2.2,5362,6,2.17,0.34,388,26,1.17,0.1,1.0,0.13,3.8,0.3,0.05,0.017,17.8,1.8,9.46,0.07,"1,c",,UGC 000038,LEDA
000040,1.45167,27.44889,102.6,2.2,7503,6,2.55,0.4,352,23,1.25,0.09,1.6,0.17,2.65,0.21,-0.041,0.019,25.8,1.4,9.8,0.07,1,,UGC 000040,LEDA
000041,1.48333,22.49194,89.3,2.3,6595,4,4.3,0.68,231,15,1.08,0.08,1.13,0.12,2.85,0.22,-0.053,0.018,28.2,2.6,9.91,0.07,1,,UGC 000041,LEDA
000042,1.52667,13.12472,77.5,2.2,5482,3,2.79,0.44,130,8,1.0,0.07,1.08,0.11,2.81,0.21,-0.042,0.016,30.8,2.0,9.6,0.07,1,,UGC 000042,LEDA
000043,1.51,14.41722,74.8,2.2,5282,4,1.97,0.31,165,11,1.0,0.08,1.11,0.12,2.96,0.23,-0.028,0.016,17.0,2.3,9.42,0.07,1,*,UGC 000043,LEDA
000044,1.57958,19.73472,88.5,2.3,6227,5,1.19,0.19,128,15,1.0,0.14,1.23,0.27,4.29,0.37,0.06,0.022,10.6,2.5,9.34,0.07,1,,UGC 000044,LEDA
000046,1.58958,17.43,77.3,2.3,5460,7,3.27,0.51,358,22,1.03,0.13,1.35,0.18,6.08,0.49,0.088,0.018,21.7,2.2,9.66,0.07,1,,UGC 000046,LEDA
000047,1.66,17.28444,12.9,2.4,880,3,4.74,0.75,70,5,1.05,0.08,1.2,0.12,3.53,0.25,0.007,0.015,50.4,2.0,8.27,0.18,1,,UGC 000047,LEDA
000049,1.6575,8.3675,73.9,2.3,5233,3,4.26,0.67,108,7,1.07,0.08,1.15,0.12,3.5,0.25,0.006,0.016,43.9,2.1,9.74,0.07,1,,UGC 000049,LEDA
000050,1.66708,26.15389,103.1,2.4,7551,7,2.95,0.46,353,23,1.0,0.08,1.19,0.15,3.2,0.26,-0.008,0.017,14.9,2.8,9.87,0.07,1,,UGC 000050,LEDA
000051,1.66792,5.11333,95.9,19.3,5365,6,2.32,0.36,263,16,1.06,0.09,1.46,0.18,2.96,0.24,-0.051,0.017,17.1,2.2,9.7,0.19,1,,UGC 000051,LEDA
000052,1.70625,8.62806,71.5,14.1,5262,3,8.84,1.4,216,13,1.05,0.07,1.13,0.11,2.9,0.21,-0.017,0.016,61.3,2.3,10.03,0.18,1,,UGC 000052,LEDA
000053,1.70958,19.32139,107.7,2.2,7896,4,2.41,0.38,139,9,1.03,0.08,1.12,0.12,3.59,0.28,0.019,0.018,20.9,2.4,9.82,0.07,1,,UGC 000053,LEDA
000056,1.75667,14.10611,83.6,15.9,5434,4,2.66,0.42,178,11,1.03,0.08,1.06,0.11,3.07,0.23,-0.015,0.016,22.8,2.2,9.64,0.18,1,*,UGC 000056,LEDA
000057,1.81625,27.70778,74.1,15.3,4545,3,11.03,1.75,274,17,1.05,0.07,1.1,0.11,3.01,0.21,-0.029,0.015,78.1,2.3,10.16,0.19,1,,UGC 000057,LEDA
000058,1.82,8.30167,53.9,2.3,3928,16,0.98,0.19,346,54,1.01,0.16,1.07,0.28,4.14,0.7,0.038,0.039,5.7,2.4,8.83,0.09,2,,UGC 000058,LEDA
000059,1.82125,27.67778,103.2,2.4,7546,8,2.29,0.36,333,21,1.0,0.07,1.03,0.12,3.15,0.23,-0.042,0.017,19.8,1.8,9.76,0.07,1,,UGC 000059,LEDA
000060,1.83125,32.60889,75.2,15.0,5061,4,6.61,1.05,412,25,1.17,0.08,1.48,0.15,3.23,0.23,-0.022,0.015,58.1,1.6,9.95,0.19,1,,UGC 000060,LEDA
000063,1.96167,35.96583,7.5,2.2,441,3,3.37,0.53,33,3,1.02,0.07,1.1,0.11,4.26,0.3,0.055,0.015,58.8,2.2,7.65,0.26,1,,UGC 000063,LEDA
000065,2.00667,33.07028,68.9,4.3,4879,9,1.39,0.22,349,31,1.02,0.09,1.14,0.13,2.23,0.22,-0.083,0.021,11.2,1.9,9.19,0.09,1,,UGC 000065,LEDA
000066,2.02833,9.7175,86.5,2.3,6387,6,3.33,0.52,459,32,1.03,0.08,1.04,0.11,2.89,0.22,-0.01,0.02,21.5,2.1,9.77,0.07,1,,UGC 000066,LEDA
000067,2.06125,7.78,163.9,2.3,11859,22,2.32,0.36,627,41,1.11,0.1,1.02,0.14,2.79,0.23,-0.039,0.022,11.7,2.0,10.17,0.07,1,,UGC 000067,LEDA
000069,2.04542,27.5275,44.1,8.9,4638,3,7.71,1.22,155,9,1.02,0.07,1.02,0.1,2.68,0.19,-0.06,0.015,63.5,2.6,9.55,0.19,1,,UGC 000069,LEDA
000074,2.18625,4.6125,55.3,2.3,3922,4,3.61,0.57,207,13,1.18,0.09,1.36,0.15,2.86,0.23,-0.035,0.018,32.4,2.0,9.42,0.08,1,,UGC 000074,LEDA
000075,2.19292,15.81639,5.7,1.1,857,3,17.9,2.83,86,5,1.04,0.07,1.12,0.11,3.99,0.28,0.052,0.015,145.2,2.8,8.14,0.18,1,,UGC 000075,LEDA
000076,2.20542,24.54,65.5,12.5,4580,4,3.58,0.56,173,10,1.13,0.08,1.28,0.14,3.06,0.22,-0.027,0.017,32.8,2.1,9.56,0.18,1,,UGC 000076,LEDA
000077,2.19875,33.4325,59.4,12.3,4794,6,3.57,0.56,443,27,1.0,0.07,1.24,0.14,2.87,0.21,-0.031,0.018,24.2,2.0,9.47,0.19,1,,UGC 000077,LEDA
000078,2.22792,23.81722,64.0,2.3,4523,4,3.22,0.51,144,9,1.06,0.11,1.16,0.13,3.74,0.27,0.032,0.016,27.9,2.2,9.49,0.08,1,,UGC 000078,LEDA
000079,2.26833,25.61806,67.6,13.6,4341,3,6.01,0.95,169,10,1.04,0.07,1.23,0.13,2.84,0.2,-0.046,0.015,52.0,2.3,9.81,0.19,1,,UGC 000079,LEDA
000081,2.26792,10.91889,90.4,2.3,6685,5,5.12,0.81,427,26,1.03,0.07,1.09,0.11,2.75,0.2,-0.056,0.015,38.1,1.8,9.99,0.07,1,,UGC 000081,LEDA
000088,2.46667,4.67444,57.7,2.4,4089,7,0.91,0.16,147,18,1.04,0.14,1.0,0.22,3.41,0.51,-0.014,0.035,8.4,2.5,8.85,0.08,2,,UGC 000088,LEDA
000089,2.47208,25.92389,53.7,10.6,4558,5,7.59,1.2,352,22,1.06,0.08,1.01,0.1,2.89,0.21,-0.037,0.015,41.0,2.6,9.71,0.18,1,,UGC 000089,LEDA
000090,2.50708,16.94028,13.2,2.3,909,3,0.99,0.15,58,4,1.07,0.08,1.0,0.11,3.23,0.24,-0.002,0.016,14.2,2.2,7.61,0.17,1,,UGC 000090,LEDA
000091,2.51375,28.14972,112.4,2.3,8204,5,4.59,0.72,369,24,1.36,0.11,1.66,0.2,5.17,0.6,0.094,0.017,24.4,2.6,10.14,0.07,1,,UGC 000091,LEDA
000092,2.50792,28.21,112.0,2.3,8158,4,4.75,0.75,120,8,1.54,0.17,1.69,0.33,5.04,0.47,0.106,0.017,39.7,2.3,10.15,0.07,1,,UGC 000092,LEDA
000093,2.57,30.84944,70.0,2.3,4953,3,10.55,1.67,238,14,1.0,0.07,1.04,0.11,2.77,0.2,-0.063,0.015,71.1,2.6,10.09,0.07,1,,UGC 000093,LEDA
000094,2.60833,25.83194,68.5,14.9,4592,3,10.73,1.7,268,16,1.01,0.07,1.03,0.1,3.1,0.22,-0.034,0.015,72.8,2.5,10.07,0.2,1,,UGC 000094,LEDA
000095,2.61,28.98778,107.4,2.2,7853,4,5.89,0.93,412,25,1.06,0.08,1.0,0.11,2.81,0.21,-0.055,0.016,26.1,3.1,10.2,0.07,1,,UGC 000095,LEDA
000096,2.63625,28.99639,95.6,2.2,7035,10,2.57,0.4,404,26,1.05,0.08,1.35,0.19,2.34,0.22,-0.089,0.02,15.7,2.2,9.74,0.07,1,,UGC 000096,LEDA
000098,2.67,32.9825,63.4,13.1,4804,4,4.9,0.77,266,16,1.04,0.08,1.05,0.11,2.85,0.2,-0.011,0.015,36.2,2.1,9.67,0.19,1,,UGC 000098,LEDA
000099,2.66958,13.70944,24.5,2.3,1740,3,9.94,1.57,68,5,1.01,0.07,1.01,0.1,3.44,0.24,0.006,0.015,89.7,2.7,9.15,0.11,1,,UGC 000099,LEDA
000100,2.69583,33.3525,68.8,4.2,4793,4,9.24,1.46,338,21,1.12,0.08,1.48,0.15,2.89,0.21,-0.043,0.015,49.6,2.7,10.01,0.09,1,,UGC 000100,LEDA
000101,2.7375,25.56,141.3,2.2,10262,4,4.0,0.63,409,27,1.35,0.1,2.23,0.23,2.98,0.28,-0.011,0.018,39.7,1.4,10.28,0.07,1,,UGC 000101,LEDA
000102,2.75458,30.05194,92.3,2.3,6775,11,1.8,0.28,320,21,1.02,0.12,1.13,0.16,3.62,0.34,-0.018,0.021,10.3,2.6,9.56,0.07,1,,UGC 000102,LEDA
000105,2.80958,28.90639,110.3,2.3,8048,7,2.17,0.34,260,17,1.06,0.08,1.05,0.12,2.34,0.34,-0.096,0.022,12.1,3.0,9.79,0.07,1,,UGC 000105,LEDA
000106,2.84333,6.38917,69.8,13.6,6050,5,8.73,1.38,408,25,1.16,0.08,1.69,0.19,2.36,0.18,-0.086,0.017,36.6,3.3,10.0,0.18,1,,UGC 000106,LEDA
000107,2.90875,27.94778,101.5,2.2,7442,10,1.65,0.26,363,25,1.0,0.08,1.0,0.12,2.84,0.23,-0.037,0.023,11.3,2.1,9.6,0.07,1,,UGC 000107,LEDA
000108,2.93792,28.49889,108.3,2.4,7934,4,1.22,0.19,201,14,1.01,0.08,1.0,0.12,3.31,0.26,0.026,0.017,10.2,2.3,9.53,0.07,"2,r",,UGC 000108,LEDA
000110,3.00542,26.39306,55.0,10.9,4503,3,3.35,0.53,155,10,1.07,0.08,1.21,0.13,3.05,0.23,-0.027,0.016,32.2,2.2,9.38,0.19,1,,UGC 000110,LEDA
000111,3.03708,12.04556,65.2,12.6,6346,4,4.6,0.73,225,14,1.06,0.08,1.17,0.12,2.55,0.18,-0.075,0.015,36.2,2.1,9.66,0.18,1,,UGC 000111,LEDA
000113,3.06542,22.32111,103.9,2.3,7598,5,4.34,0.69,437,28,1.24,0.09,1.88,0.2,2.59,0.21,-0.058,0.017,37.7,1.7,10.04,0.07,1,,UGC 000113,LEDA
000114,3.07875,31.06083,67.6,4.3,4854,4,3.71,0.59,164,10,1.01,0.07,1.04,0.11,2.63,0.19,-0.062,0.016,33.5,2.3,9.6,0.09,1,,UGC 000114,LEDA
000117,3.22667,33.36083,67.1,2.3,4762,3,6.98,1.11,191,12,1.02,0.07,1.07,0.11,2.58,0.18,-0.07,0.015,39.2,3.5,9.87,0.07,1,,UGC 000117,LEDA
000119,3.26292,14.40944,28.4,2.4,2026,3,7.76,1.23,92,6,1.05,0.08,1.07,0.11,4.47,0.31,0.069,0.015,73.4,2.3,9.17,0.1,1,,UGC 000119,LEDA
000122,3.32333,17.02917,12.6,4.4,852,3,14.85,2.35,81,5,1.05,0.07,1.1,0.11,3.85,0.27,0.021,0.015,169.0,2.3,8.75,0.31,1,,UGC 000122,LEDA
000123,3.3625,17.48639,73.6,4.1,5014,6,3.29,0.52,238,18,1.21,0.09,1.16,0.13,3.04,0.25,-0.022,0.02,21.8,2.4,9.62,0.08,1,,UGC 000123,LEDA
000127,3.48542,26.9675,66.0,2.3,4684,3,8.84,1.4,178,11,1.04,0.07,1.06,0.11,2.57,0.18,-0.067,0.015,81.8,2.2,9.96,0.08,1,,UGC 000127,LEDA
000128,3.46167,35.99333,63.9,2.5,4531,3,11.54,1.83,193,12,1.04,0.07,1.15,0.12,2.67,0.19,-0.066,0.015,143.7,1.6,10.05,0.08,1,,UGC 000128,LEDA
000129,3.48333,3.71361,164.1,2.4,11828,9,1.46,0.26,218,28,1.05,0.16,1.19,0.28,3.99,0.65,0.02,0.033,9.4,2.6,9.97,0.08,1,,UGC 000129,LEDA
000132,3.50333,12.96389,23.6,2.3,1684,4,4.6,0.73,142,9,1.03,0.08,1.14,0.12,3.07,0.23,-0.017,0.016,39.2,2.4,8.78,0.11,1,,UGC 000132,LEDA
000135,3.55375,7.41083,73.8,14.9,5836,7,1.73,0.27,199,13,1.14,0.09,1.01,0.13,2.95,0.26,-0.045,0.022,12.7,2.4,9.35,0.19,1,,UGC 000135,LEDA
000140,3.6675,18.58194,76.2,2.1,5412,6,4.32,0.68,504,30,1.05,0.08,1.19,0.13,2.16,0.16,-0.106,0.017,23.0,2.6,9.77,0.07,1,,UGC 000140,LEDA
000143,3.81375,5.8875,185.2,2.3,13301,9,1.3,0.23,150,24,1.05,0.23,1.05,0.53,4.44,0.67,0.035,0.031,10.0,2.5,10.02,0.08,1,,UGC 000143,LEDA
000148,3.96417,16.08944,46.3,9.6,4195,3,8.74,1.38,273,17,1.11,0.08,1.23,0.12,2.85,0.2,-0.042,0.015,69.8,2.0,9.65,0.19,1,,UGC 000148,LEDA
000149,3.98958,14.07611,83.6,16.3,5476,4,4.02,0.63,252,15,1.05,0.08,1.04,0.11,3.35,0.24,-0.013,0.015,31.5,2.2,9.82,0.18,1,,UGC 000149,LEDA
000152,4.11875,29.92361,66.1,12.8,4865,3,4.07,0.64,204,12,1.13,0.08,1.32,0.13,2.91,0.21,-0.054,0.015,41.4,1.8,9.62,0.18,1,,UGC 000152,LEDA
000154,4.17167,2.46111,57.7,2.3,4115,3,1.38,0.21,68,4,1.07,0.08,1.25,0.15,2.7,0.2,-0.046,0.016,19.5,2.1,9.03,0.08,1,,UGC 000154,LEDA
000155,4.18417,7.07639,58.6,11.7,3957,3,11.77,1.86,361,22,1.07,0.08,1.27,0.13,2.74,0.19,-0.058,0.015,77.4,2.1,9.98,0.19,1,,UGC 000155,LEDA
000156,4.20083,12.35,16.2,4.4,1140,3,13.14,2.08,109,7,1.08,0.08,1.19,0.12,3.87,0.27,0.021,0.015,143.4,2.0,8.91,0.25,1,,UGC 000156,LEDA
000157,4.22417,27.84778,125.1,2.4,9091,5,1.07,0.17,119,8,1.09,0.09,1.24,0.19,2.66,0.22,-0.058,0.021,12.4,1.9,9.59,0.07,1,,UGC 000157,LEDA
000159,4.31667,17.5225,14.5,2.3,1006,3,3.02,0.48,59,4,1.04,0.07,1.14,0.11,3.25,0.23,-0.002,0.015,41.1,2.2,8.18,0.15,1,,UGC 000159,LEDA
000160,4.26542,34.49944,65.8,2.3,4671,3,3.27,0.52,106,7,1.02,0.08,1.0,0.1,3.01,0.22,-0.036,0.015,36.5,2.2,9.52,0.08,1,,UGC 000160,LEDA
000161,4.29167,6.71889,80.3,2.3,5654,4,4.33,0.68,184,11,1.19,0.09,1.46,0.15,3.52,0.26,0.009,0.016,32.6,2.4,9.82,0.07,"1,c",,UGC 000161,LEDA
000163,4.33,6.72222,93.8,18.9,5653,4,4.45,0.7,188,11,1.13,0.08,1.31,0.14,3.31,0.23,-0.008,0.015,32.0,2.4,9.97,0.19,"1,c",,UGC 000163,LEDA
000164,4.34917,18.08389,76.9,2.3,5448,5,1.67,0.26,203,19,1.07,0.09,1.0,0.12,2.64,0.25,-0.047,0.02,13.3,2.3,9.37,0.07,1,,UGC 000164,LEDA
000165,4.42417,24.6675,84.3,17.4,6053,4,4.0,0.63,291,19,1.01,0.08,1.03,0.11,3.26,0.24,-0.013,0.019,26.1,2.3,9.83,0.19,1,,UGC 000165,LEDA
000166,4.39917,30.20472,58.6,11.5,4830,3,8.36,1.32,233,14,1.02,0.07,1.01,0.1,2.72,0.19,-0.059,0.015,59.4,2.5,9.83,0.18,1,,UGC 000166,LEDA
000167,4.43958,11.45028,18.2,1.8,1159,3,9.02,1.43,207,12,1.09,0.08,1.12,0.11,3.99,0.28,0.041,0.015,75.8,2.2,8.85,0.11,1,,UGC 000167,LEDA
000168,4.54417,18.29222,78.2,2.2,5504,7,3.22,0.51,299,23,1.0,0.08,1.0,0.14,3.39,0.3,0.046,0.019,12.2,4.2,9.67,0.07,1,,UGC 000168,LEDA
000169,4.5775,19.39278,76.7,2.4,5448,4,7.44,1.18,255,16,1.05,0.07,1.1,0.11,2.95,0.21,-0.023,0.015,57.6,2.0,10.01,0.07,1,,UGC 000169,LEDA
000172,4.60208,17.83417,78.8,2.3,5591,11,1.2,0.22,194,26,1.0,0.14,1.23,0.28,2.38,0.45,-0.06,0.034,8.3,2.6,9.24,0.08,1,,UGC 000172,LEDA
000174,4.59375,30.07944,94.3,4.3,7201,11,2.27,0.36,334,22,1.0,0.08,1.01,0.11,3.45,0.29,0.004,0.017,14.5,2.2,9.68,0.08,1,,UGC 000174,LEDA
000179,4.7525,23.47611,58.6,12.0,4469,4,6.12,0.97,193,12,1.03,0.07,1.16,0.13,2.56,0.18,-0.075,0.015,42.2,2.6,9.7,0.19,1,,UGC 000179,LEDA
000180,4.78458,15.74944,150.8,2.3,10915,16,1.32,0.23,383,46,1.0,0.13,1.0,0.22,2.34,0.38,-0.082,0.035,8.4,2.2,9.85,0.08,2,*,UGC 000180,LEDA
000181,4.75083,19.39778,75.5,2.2,5354,6,2.18,0.34,292,18,1.04,0.09,1.22,0.14,3.48,0.27,0.012,0.019,14.9,2.3,9.47,0.07,1,,UGC 000181,LEDA
000184,4.86208,13.16083,74.0,2.2,5254,4,2.44,0.38,145,9,1.0,0.08,1.03,0.12,2.63,0.21,-0.051,0.019,17.2,2.9,9.5,0.07,1,,UGC 000184,LEDA
000186,4.95292,23.77222,82.3,2.3,5789,20,1.16,0.2,389,50,1.13,0.16,1.07,0.42,2.42,0.7,-0.04,0.038,6.8,2.3,9.27,0.08,2,,UGC 000186,LEDA
000187,4.94708,9.16667,76.6,2.3,5444,4,3.2,0.5,337,21,1.0,0.07,1.08,0.12,3.14,0.23,-0.015,0.016,25.9,1.9,9.65,0.07,1,,UGC 000187,LEDA
000188,4.99875,20.00472,106.8,2.2,7793,4,5.72,0.91,204,13,1.53,0.11,2.79,0.29,3.95,0.29,0.046,0.016,42.5,2.5,10.19,0.07,1,,UGC 000188,LEDA
000189,4.98958,15.09194,103.9,2.2,7622,4,3.66,0.58,176,11,1.0,0.08,1.01,0.1,2.79,0.2,-0.049,0.016,30.3,2.1,9.97,0.07,1,,UGC 000189,LEDA
000191,5.02125,10.87917,16.1,4.4,1144,3,17.45,2.76,115,7,1.01,0.07,1.02,0.1,3.08,0.22,-0.026,0.015,154.5,2.4,9.03,0.25,1,,UGC 000191,LEDA
000194,5.11417,0.83306,77.5,2.3,5431,13,1.7,0.3,550,71,1.03,0.14,1.8,0.43,3.41,0.53,0.003,0.05,9.6,2.2,9.38,0.08,2,*,UGC 000194,LEDA
000195,5.08375,7.7,67.6,13.1,5717,6,3.9,0.61,257,15,1.02,0.07,1.03,0.11,3.17,0.23,-0.03,0.016,20.8,3.0,9.62,0.18,1,,UGC 000195,LEDA
000197,5.2025,20.03111,105.0,2.3,7691,5,1.99,0.31,176,13,1.25,0.1,1.29,0.15,3.1,0.32,-0.024,0.022,16.8,2.3,9.71,0.07,1,,UGC 000197,LEDA
000198,5.23125,21.86583,82.2,4.2,5587,5,3.55,0.56,204,13,1.15,0.09,1.39,0.15,3.07,0.24,-0.021,0.016,22.3,2.9,9.75,0.08,1,,UGC 000198,LEDA
000199,5.21583,12.85583,25.2,2.5,1799,3,4.79,0.76,90,6,1.08,0.08,1.18,0.12,3.15,0.22,-0.017,0.015,54.2,2.2,8.86,0.11,1,,UGC 000199,LEDA
000200,5.24333,17.68778,73.7,2.4,5233,4,1.71,0.27,108,7,1.02,0.09,1.09,0.12,3.4,0.29,0.001,0.017,16.9,2.4,9.34,0.07,1,,UGC 000200,LEDA
000201,5.24958,7.62167,164.0,2.3,11799,8,2.9,0.45,377,27,1.02,0.08,1.41,0.17,2.56,0.21,-0.042,0.019,14.7,2.6,10.27,0.07,1,,UGC 000201,LEDA
000204,5.32292,23.09083,70.2,13.9,5707,4,4.71,0.75,235,14,1.03,0.07,1.1,0.11,2.74,0.19,-0.073,0.015,42.4,2.0,9.74,0.19,1,,UGC 000204,LEDA
000205,5.33375,17.34083,56.8,11.0,5269,4,2.14,0.34,154,10,1.05,0.09,1.51,0.17,3.54,0.27,0.0,0.017,17.4,2.6,9.21,0.18,1,,UGC 000205,LEDA
000207,5.37958,29.66194,95.7,2.3,7044,10,0.97,0.17,238,45,1.26,0.16,1.32,0.37,2.17,0.7,-0.073,0.047,8.5,1.9,9.32,0.08,1,,UGC 000207,LEDA
000208,5.46375,22.39972,82.2,4.3,5386,4,6.01,0.95,503,31,1.18,0.08,1.51,0.15,2.81,0.2,-0.006,0.016,58.5,1.4,9.98,0.08,"1,c",,UGC 000208,LEDA
000209,5.51333,22.40806,82.2,4.3,5551,7,2.76,0.43,601,38,1.51,0.14,2.3,0.36,6.84,0.7,0.09,0.019,15.6,2.1,9.64,0.08,"1,c",,UGC 000209,LEDA
000210,5.52083,23.73667,71.5,15.0,4484,4,4.41,0.7,206,12,1.0,0.07,1.03,0.11,3.53,0.26,-0.01,0.015,34.9,2.3,9.73,0.19,1,,UGC 000210,LEDA
000211,5.56333,20.60833,79.5,2.3,5631,6,1.87,0.29,211,13,1.01,0.09,1.51,0.18,3.29,0.24,-0.015,0.018,15.6,2.1,9.45,0.07,1,,UGC 000211,LEDA
000214,5.55667,10.49111,75.7,2.3,5375,3,12.02,1.9,271,16,1.06,0.07,1.19,0.12,2.72,0.19,-0.049,0.015,81.6,2.3,10.21,0.07,1,,UGC 000214,LEDA
000215,5.61,29.50361,96.6,2.3,7069,10,1.91,0.3,366,25,1.29,0.11,1.93,0.26,2.45,0.38,-0.065,0.041,13.4,1.9,9.62,0.07,1,,UGC 000215,LEDA
000217,5.6375,28.12028,66.8,2.2,4754,3,2.27,0.36,120,8,1.02,0.08,1.28,0.14,3.02,0.23,-0.027,0.016,23.8,2.2,9.38,0.07,1,,UGC 000217,LEDA
